RS1	RS2	RS3	sampleIDs	Pop
SPT35286	0.805991624980214	0.430896443252281	0.0796729515154408	SPT35286	Pop2015
SPT35287	0.675845002607827	-0.739371570611345	0.418151946612825	SPT35287	Pop2015
SPT35288	1.11492563508625	3.95196061902988	-1.58692650343604	SPT35288	Pop2015
SPT35289	0.497997328825775	-0.16655633044565	0.603123744596302	SPT35289	Pop2015
SPT35290	0.807270757459986	0.432355331894727	0.081504648672053	SPT35290	Pop2015
SPT35291	0.768475443235744	-1.76349710454122	-0.837625751282369	SPT35291	Pop2015
SPT35293	0.90269234471811	-0.26017564940247	-0.626988800739886	SPT35293	Pop2015
SPT35294	0.675706774563359	0.0922205053082568	1.28951610030977	SPT35294	Pop2015
SPT35295	0.680866018374295	0.10301377636828	1.28708025380888	SPT35295	Pop2015
SPT35296	0.827512357630469	-0.422878884367762	0.0645688294837889	SPT35296	Pop2015
SPT35297	0.605448382593242	-0.105757167850158	0.657501884757672	SPT35297	Pop2015
SPT35298	0.961050939329333	-0.612909452606119	0.505739155296181	SPT35298	Pop2015
SPT35299	0.776609544812629	-0.0100793035136821	0.479551127949727	SPT35299	Pop2015
SPT35300	0.775585776785949	-0.00377599931417782	0.472084482773139	SPT35300	Pop2015
SPT35301	0.722250077702959	2.5419062893372	-1.28368005450812	SPT35301	Pop2015
